uid_a,uid_b,distance_a2b,distance_b2a
4.0474e-320,4.664e-321,0.0,1.91147595e-316
0.0,1.0,0.16807555136561803,0.5050699352666175
0.0,2.0,0.1950566527601806,0.16789719784365048
0.0,3.0,0.15607461223129368,0.19365457277852505
0.0,4.0,0.08774037499652723,0.04447684071781194
0.0,5.0,0.20204900612774862,0.20204900612774862
0.0,6.0,0.09556366699863457,0.09556366699863457
0.0,7.0,0.10982443566472752,0.10982443566472752
0.0,8.0,0.22282872452254057,0.22282872452254057
0.0,9.0,0.22663447894072106,0.45005260119683566
0.0,10.0,0.17750280934116586,0.08390981586498236
0.0,11.0,0.34869459186275936,0.34697406240658535
0.0,12.0,0.12671470125487533,0.12671470125487533
0.0,13.0,0.18597498904816226,0.18597498904816226
0.0,14.0,0.15722908626634496,0.15722908626634496
0.0,15.0,0.0945189528864424,0.0945189528864424
0.0,16.0,0.14314021408420494,0.14314021408420494
0.0,17.0,0.23024614680404007,0.23024614680404007
0.0,18.0,0.1662856565943271,0.32714493635688713
0.0,19.0,0.1726577383531661,0.3430917017789287
0.0,20.0,0.173232571842929,0.173232571842929
0.0,21.0,0.16730783880175276,0.18819478255527475
0.0,22.0,0.3645208298599075,0.1471864365596285
0.0,23.0,0.22391479580083523,0.25037497027594297
0.0,24.0,0.20838857567722818,0.20306022450375422
0.0,25.0,0.25900644303701054,0.1303404843260575
0.0,26.0,0.2960300867668378,0.2960300867668378
0.0,27.0,0.2904343428889665,0.2904343428889665
0.0,28.0,0.11537122345736048,0.2718966011976482
0.0,29.0,0.30885348975047344,0.30885348975047344
0.0,30.0,0.0953677018748903,0.14334614580686716
0.0,31.0,0.13184426108750658,0.13184426108750658
0.0,32.0,0.20928261660695494,0.31860760904544144
0.0,33.0,0.12131525780778878,0.12131525780778878
0.0,34.0,0.14413778675788352,0.38805683013883574
0.0,35.0,0.1873404221515735,0.1873404221515735
0.0,36.0,0.09735348013075432,0.24146041315658298
0.0,37.0,0.07230033446020509,0.07230033446020509
0.0,38.0,0.11293424243066577,0.48189789401232636
0.0,39.0,0.18231200142313794,0.44027783733114434
0.0,40.0,0.15953917523494818,0.283102958789268
0.0,41.0,0.11933578473161323,0.43129337926723765
0.0,42.0,0.3530057173352313,0.3628582362552523
0.0,43.0,0.24578626413211324,0.45352218533977656
0.0,44.0,0.12903569605311066,0.5271730323813432
0.0,45.0,0.127653837108912,0.127653837108912
0.0,46.0,0.1933161760865931,0.44191331963648967
0.0,47.0,0.05835443242542402,0.3826589465662617
0.0,48.0,0.21049003430304455,0.2854284971852258
0.0,49.0,0.1471006603475659,0.1471006603475659
0.0,50.0,0.21680958754954077,0.15223243007134937
0.0,51.0,0.355119790503826,0.2438500083517641
0.0,52.0,0.2642500528786204,0.4276549486756789
0.0,53.0,0.19659899858512023,0.28358228643424704
0.0,54.0,0.1249473394646277,0.1249473394646277
0.0,55.0,0.25154543783761346,0.4348491591757774
0.0,56.0,0.1129785765779743,0.1129785765779743
0.0,57.0,0.2139105519724294,0.2604545847284224
0.0,58.0,0.23784641122307243,0.4514555635358456
0.0,59.0,0.12443013470694171,0.29821185505362596
0.0,60.0,0.1891964470452653,0.2963373533705168
0.0,61.0,0.24372822942069183,0.4648812941034824
0.0,62.0,0.26864448788013046,0.26864448788013046
0.0,63.0,0.12148341606909632,0.4326815814547108
0.0,64.0,0.3275861106517224,0.033988752142829384
0.0,65.0,0.33674326125906484,0.23392348763097445
0.0,66.0,0.2297416267738219,0.2297416267738219
0.0,67.0,0.18702137499970942,0.18702137499970942
0.0,68.0,0.32481533357694,0.16273646278833837
0.0,69.0,0.178287363579539,0.08272543372515033
0.0,70.0,0.13437143239494628,0.5074836677512651
0.0,71.0,0.293923302226629,0.0818737049070771
0.0,72.0,0.306409298260994,0.30686977626806683
0.0,73.0,0.1450444702008067,0.1450444702008067
0.0,74.0,0.1417176580206925,0.17441024036257752
0.0,75.0,0.16626844401619822,0.4156699344266533
0.0,76.0,0.09691822501009746,0.1597762984755762
0.0,77.0,0.06776095539257977,0.2079440715434718
0.0,78.0,0.2810000988693574,0.38333292351940096
